Name,Old_price,New_price,Discount,Rating
Hikers 32'' Inch Frameless Android Smart HD LED TV-Black-One Year Warranty,"₦ 190,000","₦ 139,000",27%,4.2 out of 5
Hikers 42'' Inch Frameless Android Smart FHD LED TV - Black - One Year,"₦ 259,999","₦ 226,900",13%,4.1 out of 5
"Nexus 32"" Inches FHD TV (H620B(SA) - Black + 2 Years Warranty","₦ 132,000","₦ 131,000",1%,4.2 out of 5
Zealot S67 Portable 60W Wireless Bluetooth Speaker,"₦ 155,000","₦ 71,455",54%,4.4 out of 5
"Nexus 55"" Inches UHD 4K Android Smart Frameless TV (NX-TV55U4K621B (SA)) + 1 Year Warranty","₦ 878,026","₦ 423,145",52%,4.4 out of 5
Newcastle New Extra Bass Sound Bar System With Display, ,"₦ 95,490", ,4 out of 5
F&D T60X Tower Speaker - Black/Formica,"₦ 350,000","₦ 291,425",17%,4.7 out of 5
itel 32 Inches LED TV (A3250) + 1 year Warranty,"₦ 103,891","₦ 96,643",7%,3.9 out of 5
"Tutu 32"" Inches Smart LED TV (TU32Q1HS) - Black +1 Year Warranty","₦ 143,511","₦ 133,499",7%,4.1 out of 5
Power Strip 6 AC Sockets & 3 USB 1 Type C Port 6FT Cord,"₦ 22,350","₦ 10,790",52%,4.4 out of 5
Tedber Bolan Long SoundBar Bluetooth Speaker With Inbuilt Woofer,"₦ 85,590","₦ 67,800",21%,4.2 out of 5
Hikers 32'' Inches Frameless HD LED TV-Black,"₦ 165,000","₦ 112,900",32%,4 out of 5
Hikers 43'' Frameless FHD LED TV - Black,"₦ 234,423","₦ 204,500",13%,4.1 out of 5
DVD/Decoder Wall Shelf Cabinet Suspended Wall Decor Shelf,"₦ 9,101","₦ 6,000",34%,3.4 out of 5
P9 Wireless Bluetooth Headset Headphone-Black,"₦ 11,900","₦ 8,200",31%,3.6 out of 5
"Infinity 43'' FRAMELESS Smart TV+Netflix,Youtube +WALL HANGER","₦ 290,000","₦ 224,999",22%,4.2 out of 5
Wireles Earbuds Bluetooth Headphones Earpiece Fingerprint Touch Control Earpôds 6DStereoBassHeadset-Black,"₦ 6,610","₦ 5,508",17%,3.4 out of 5
PowMr 10A-60A PWM Solar Charger Controller 12V 24V Dual USB,"₦ 8,794 - ₦ 12,901","₦ 6,141 - ₦ 12,573",30%,3.8 out of 5
Starry Night Light With Remote Control & Bluetooth Music,"₦ 26,147","₦ 14,000",46%,4 out of 5
12 Inches Automatic Led Ringlight With Stand  And Phone/camera  Holder, ,"₦ 14,000", ,4.1 out of 5
"UFC 32""INCHES SMART FRAMELESS ANDROID TV 2 YEARS WARRANTY","₦ 190,000","₦ 141,999",25%,4 out of 5
Zealot S67 Waterproof Bluetooth Bass Speaker,"₦ 89,000","₦ 74,990",16%,4.4 out of 5
Homeflower Solid 2.1 Heavy Duty Sound Speakers,"₦ 99,150","₦ 41,300",58%,4.3 out of 5
Ace Elec Portable Bluetooth Speaker  With 11RGB LED Light,"₦ 15,688","₦ 8,100",48%,4.2 out of 5
Ear Clip Bluetooth Headphones Bone Conduction Headphones Wireless Earbuds 3D Surround Sound Bass Sports Headphones with Microphone,"₦ 15,252","₦ 8,528",44%,3.4 out of 5
Professional LED Video Light Photography Light Panel(No Support Rod),"₦ 62,220","₦ 31,670",49%,4.5 out of 5
